Number,Steps
137505,82
491706,182
464181,138
67331,68
180928,116
465781,138
359495,73
166885,90
445910,68
42878,75
15847,58
170876,51
70357,37
49541,96
58482,104
243407,88
316411,101
8688,140
251016,150
401678,143
99337,97
326399,246
241116,67
323568,91
135041,69
349470,135
286879,189
274607,163
352169,78
296529,145
405877,205
489674,182
304587,96
370058,148
57004,52
485514,138
352190,78
432850,324
152398,201
298100,96
492079,138
184596,147
468975,169
78787,50
234136,62
27457,33
338546,91
50547,65
52496,78
89561,71
468576,50
151832,157
432311,187
226043,137
491752,182
67352,37
75512,107
294982,52
341958,52
444033,280
91511,177
264187,176
433706,42
396097,68
150596,64
7061,31
397962,99
2785,66
439910,218
50359,109
300884,127
431988,187
234954,199
286211,52
27126,90
485442,138
330019,215
365671,91
35988,49
398866,143
471583,107
20915,56
67049,68
403894,205
263309,269
58800,104
471245,107
355172,73
370134,117
329554,184
299204,114
461644,81
93740,252
232909,75
374092,73
244335,194
239969,199
272053,88
247120,31
196230,160
338763,153
64355,47
144569,232
73716,156
366917,73
171695,103
75509,107
196935,160
53717,91
111496,35
112152,185
25300,82
148762,188
179201,72
429193,262
412070,112
254352,57
416789,81
283594,83
124485,87
246342,181
82797,63
102480,66
340082,60
332058,47
492923,138
84416,151
88378,71
264975,163
347887,228
284608,189
103737,97
412242,205
429176,156
193805,72
279158,176
117222,48
269313,114
492445,182
170939,103
397161,99
120948,136
212590,80
62274,210
300148,233
158134,170
490696,63
70852,112
74922,63
274289,176
195336,72
321263,171
373437,86
314168,109
161344,46
205494,204
307090,83
262112,163
293872,127
88417,164
109998,92
94831,128
192153,222
38591,230
40358,137
402309,236
334101,109
173932,165
187974,59
342897,197
361222,210
101486,203
463844,138
73811,94
163759,183
263992,119
231944,75
170806,77
334843,166
306865,202
445094,143
46530,114
144479,188
334883,184
360697,117
322175,153
40376,137
184139,134
100638,159
350599,47
272555,176
226987,67
461781,76
481059,213
265578,163
2139,76
399720,68
116030,136
176070,46
87693,45
458926,200
37291,186
189178,116
422769,81
127453,56
369288,179
203112,41
375748,148
40094,67
54306,47
198964,116
1539,34
100836,66
343442,52
336421,122
477884,81
165616,121
393149,192
178374,121
266253,57
260099,163
450928,63
493240,76
221880,155
431987,187
275169,238
240370,168
331706,166
391198,130
432791,125
435750,187
350123,272
486433,244
141279,144
289243,251
113885,53
10566,104
492355,120
5984,49
67011,143
46660,83
204947,173
84902,226
163847,64
48388,70
421322,143
141731,82
230356,75
330822,153
320104,70
12960,32
107273,216
287384,96
22551,87
345504,73
235722,75
297719,140
85873,76
67427,161
205268,54
35015,54
19528,74
71742,174
21447,48
160806,95
360985,91
151683,201
171371,196
353339,104
157666,214
254734,106
399998,228
378964,192
339635,109
80197,94
427351,81
277308,176
221927,80
174058,72
108130,40
58382,104
187018,85
231754,106
362117,117
225920,36
77257,107
97838,159
23639,144
179481,116
181616,134
245258,181
214495,248
201143,116
317000,78
252293,150
361948,65
177984,134
420327,205
49671,96
31322,103
94344,102
304404,202
447671,94
473307,125
144038,180
27867,108
417009,112
437697,262
266145,132
91067,84
62178,42
340879,104
294436,70
293931,189
202995,67
20355,35
371187,210
317185,78
60345,117
67019,117
498800,89
305603,202
297865,140
199943,90
122602,180
66509,192
78242,81
300585,233
486835,63
127912,56
348258,135
97530,190
448667,94
312280,158
70836,99
109056,22
356499,179
487845,125
46753,70
138995,82
95263,76
108930,185
479873,200
389698,68
402861,68
199220,41
410052,68
290399,83
16404,40
470397,151
373770,109
31555,103
275999,189
171634,59
247849,119
414952,112
254495,225
326091,78
231888,124
241329,93
470354,156
96497,97
355211,104
419021,81
408776,81
426046,249
44428,132
281626,83
430242,94
91180,58
420621,68
25504,126
216462,41
416845,112
415201,112
135674,87
116064,61
325253,184
426072,99
148819,170
312001,52
316193,101
196726,98
87999,270
4179,64
444574,143
19302,61
258673,150
270664,70
251189,132
16353,71
257370,49
347685,104
371563,285
192742,85
272812,70
297609,264
237169,168
54438,91
227850,155
344701,303
491410,138
269706,163
61162,34
408254,86
184906,134
196835,160
40670,181
10158,179
139258,113
205840,67
338510,83
455451,231
402565,161
426508,73
459629,81
347139,184
445809,169
234653,124
134154,43
213349,173
251005,150
391523,174
61033,117
138920,51
100616,40
333845,153
452880,156
337785,228
404634,60
180729,165
198837,67
396043,192
450434,112
259998,75
320648,215
151692,126
473184,63
